DATE,SONG(S),ARTIST,GENRE,SCORE [FEEL],SCORE [Music]
5.1,Anemone,The Brian Jonestown Massacre,Alternative,,
,Heroine,"The Velvet Underground, Nico",,,
,Vitamin C,CAN,,,
,Marquee moon,,,,
23.1,St.Stephen,Grateful Dead,,,
24.1,Man of oil,Animal Collective,,,
27.1,My girls,Animal Collective,,,
31.1,Feel flows,beach boys,,,
1.2,Autumn sweater,Yo la tengo,,,
,I'll be around,,,,
,You can have it all,,,,
,Green arrow,,,,
3.2,Norwegian Wood,The Beatles,,,
9.2,Hey Jude,,,,
9.2,Here comes the sun,,,,
10.2,Come together,,,,
11.2,Mrs.Robinson,Simon and Garfunkel,,,
12.2,Sound of silence,,,,
,Boy new york ,,,,
,Mr blue,Catherine Feeny,,,
13.2,Boxer,S&G,,,
14.2,Unakaaga oru paatu,Siennor,,,
17.2,Birdland,Weather report,,,
20.2,I ran,A flock of seagulls,,,
24.2,Tuesday afternoon,The moody Blues,,,
,Ride my see-saw,,,,
,Om,,,,
,nights in white satin,,,,
,calling occupants of interplanetary craft,,,,
,dancing in the dark,,,,
,otherside,perfume genius,,,
,hell is for children,,,,
,albatross,fleetwood mac,,,
,hold my hand ,hootie and the blowfish,,,
,across the rolling hill,,,,
,black man in a white world,michael kiwanuka,,,
,place i belong,,,,
,cold little heart,,,,
,thunder ,ry x,,,
,and it's alright,nathaniel rateliff,,,
,broekn sleep,Agnes obel,,,
,Remember where you are,Jessie Ware,,,
,bloom,radiohead,,,
,mornign mr magpie,,,,
,give up the ghost,,,,
,dolphin,panda bear,,,
,boys latin,,,,
,the labyrinth song,Asaf avidan,,,
,inside,"chris avantagrde, red rosamond",,,
,industry,mira kay,,,
,in the woods somewhere,hozier,,,
,the pioneers-m83 remix,the bloc party,,,
,my body is a cage,peter gabriel,,,
,ellis island,meredith monk,,,
,cow song,,,,
,try my heart,lyla foy,,,
,"irgendwie, irgendwo, irgendwann",feuer und flamme,,,
,boyz-n-the hood,eazy-e,,,
,in the light,led zeppelin,,,